event,time,tdcid,chnlid,tdcid_bits,channel_bits,time_bits
7,8559,1,7,0001,00111,00010000101101111
65,8572,3,17,0011,10001,00010000101111100
120,8572,6,0,0110,00000,00010000101111100
134,8590,6,14,0110,01110,00010000110001110
87,8598,4,15,0100,01111,00010000110010110
38,8684,2,14,0010,01110,00010000111101100
126,8758,6,6,0110,00110,00010001000110110
15,8787,1,15,0001,01111,00010001001010011
130,8875,6,10,0110,01010,00010001010101011
40,8883,2,16,0010,10000,00010001010110011
112,8993,5,16,0101,10000,00010001100100001
105,9012,5,9,0101,01001,00010001100110100
15,9049,1,15,0001,01111,00010001101011001
40,9068,2,16,0010,10000,00010001101101100
40,9087,2,16,0010,10000,00010001101111111
87,9118,4,15,0100,01111,00010001110011110
92,9182,4,20,0100,10100,00010001111011110
135,9204,6,15,0110,01111,00010001111110100
109,9285,5,13,0101,01101,00010010001000101
55,9297,3,7,0011,00111,00010010001010001
131,9402,6,11,0110,01011,00010010010111010
43,9467,2,19,0010,10011,00010010011111011
3,9469,1,3,0001,00011,00010010011111101
42,9526,2,18,0010,10010,00010010100110110
0,9529,1,0,0001,00000,00010010100111001
78,9571,4,6,0100,00110,00010010101100011
69,9634,3,21,0011,10101,00010010110100010
45,9713,2,21,0010,10101,00010010111110001
24,9732,2,0,0010,00000,00010011000000100
131,9742,6,11,0110,01011,00010011000001110
27,9986,2,3,0010,00011,00010011100000010
89,10015,4,17,0100,10001,00010011100011111
78,10021,4,6,0100,00110,00010011100100101
15,10029,1,15,0001,01111,00010011100101101
94,10113,4,22,0100,10110,00010011110000001
58,10124,3,10,0011,01010,00010011110001100
124,10141,6,4,0110,00100,00010011110011101
49,10166,3,1,0011,00001,00010011110110110
47,10193,2,23,0010,10111,00010011111010001
2,10363,1,2,0001,00010,00010100001111011
14,10386,1,14,0001,01110,00010100010010010
53,10395,3,5,0011,00101,00010100010011011
92,10416,4,20,0100,10100,00010100010110000
45,10434,2,21,0010,10101,00010100011000010
38,10470,2,14,0010,01110,00010100011100110
35,10588,2,11,0010,01011,00010100101011100
98,10628,5,2,0101,00010,00010100110000100
10,10700,1,10,0001,01010,00010100111001100
50,10864,3,2,0011,00010,00010101001110000
80,10874,4,8,0100,01000,00010101001111010
131,10919,6,11,0110,01011,00010101010100111
16,10962,1,16,0001,10000,00010101011010010
117,10977,5,21,0101,10101,00010101011100001
110,11066,5,14,0101,01110,00010101100111010
100,11100,5,4,0101,00100,00010101101011100
86,11120,4,14,0100,01110,00010101101110000
124,11154,6,4,0110,00100,00010101110010010
117,11161,5,21,0101,10101,00010101110011001
5,11168,1,5,0001,00101,00010101110100000
115,11215,5,19,0101,10011,00010101111001111
108,11220,5,12,0101,01100,00010101111010100
56,11249,3,8,0011,01000,00010101111110001
25,11287,2,1,0010,00001,00010110000010111
135,11302,6,15,0110,01111,00010110000100110
22,11311,1,22,0001,10110,00010110000101111
45,11368,2,21,0010,10101,00010110001101000
32,11445,2,8,0010,01000,00010110010110101
37,11582,2,13,0010,01101,00010110100111110
22,11687,1,22,0001,10110,00010110110100111
93,11698,4,21,0100,10101,00010110110110010
70,11783,3,22,0011,10110,00010111000000111
90,11889,4,18,0100,10010,00010111001110001
42,11927,2,18,0010,10010,00010111010010111
142,12081,6,22,0110,10110,00010111100110001
108,12183,5,12,0101,01100,00010111110010111
103,12201,5,7,0101,00111,00010111110101001
96,12223,5,0,0101,00000,00010111110111111
63,12243,3,15,0011,01111,00010111111010011
35,12412,2,11,0010,01011,00011000001111100
12,12527,1,12,0001,01100,00011000011101111
70,12541,3,22,0011,10110,00011000011111101
6,12552,1,6,0001,00110,00011000100001000
13,12572,1,13,0001,01101,00011000100011100
102,12638,5,6,0101,00110,00011000101011110
103,12672,5,7,0101,00111,00011000110000000
17,12683,1,17,0001,10001,00011000110001011
101,12696,5,5,0101,00101,00011000110011000
114,12715,5,18,0101,10010,00011000110101011
33,12803,2,9,0010,01001,00011001000000011
78,12840,4,6,0100,00110,00011001000101000
99,12918,5,3,0101,00011,00011001001110110
43,12951,2,19,0010,10011,00011001010010111
18,12969,1,18,0001,10010,00011001010101001
71,12996,3,23,0011,10111,00011001011000100
90,13058,4,18,0100,10010,00011001100000010
56,13058,3,8,0011,01000,00011001100000010
112,13111,5,16,0101,10000,00011001100110111
58,13116,3,10,0011,01010,00011001100111100
91,13191,4,19,0100,10011,00011001110000111
24,13221,2,0,0010,00000,00011001110100101
22,13253,1,22,0001,10110,00011001111000101
27,13341,2,3,0010,00011,00011010000011101
12,13369,1,12,0001,01100,00011010000111001
31,13404,2,7,0010,00111,00011010001011100
140,13438,6,20,0110,10100,00011010001111110
95,13521,4,23,0100,10111,00011010011010001
128,13575,6,8,0110,01000,00011010100000111
142,13579,6,22,0110,10110,00011010100001011
126,13710,6,6,0110,00110,00011010110001110
139,13726,6,19,0110,10011,00011010110011110
108,13793,5,12,0101,01100,00011010111100001
24,13831,2,0,0010,00000,00011011000000111
57,14012,3,9,0011,01001,00011011010111100
54,14038,3,6,0011,00110,00011011011010110
13,14071,1,13,0001,01101,00011011011110111
52,14103,3,4,0011,00100,00011011100010111
5,14104,1,5,0001,00101,00011011100011000
60,14112,3,12,0011,01100,00011011100100000
29,14132,2,5,0010,00101,00011011100110100
44,14210,2,20,0010,10100,00011011110000010
130,14309,6,10,0110,01010,00011011111100101
10,14433,1,10,0001,01010,00011100001100001
65,14443,3,17,0011,10001,00011100001101011
73,14483,4,1,0100,00001,00011100010010011
126,14493,6,6,0110,00110,00011100010011101
65,14537,3,17,0011,10001,00011100011001001
90,14571,4,18,0100,10010,00011100011101011
55,14673,3,7,0011,00111,00011100101010001
116,14676,5,20,0101,10100,00011100101010100
33,14677,2,9,0010,01001,00011100101010101
32,14697,2,8,0010,01000,00011100101101001
58,14715,3,10,0011,01010,00011100101111011
110,14721,5,14,0101,01110,00011100110000001
65,14722,3,17,0011,10001,00011100110000010
100,14767,5,4,0101,00100,00011100110101111
10,14793,1,10,0001,01010,00011100111001001
68,14804,3,20,0011,10100,00011100111010100
40,14839,2,16,0010,10000,00011100111110111
64,14856,3,16,0011,10000,00011101000001000
117,14965,5,21,0101,10101,00011101001110101
130,15002,6,10,0110,01010,00011101010011010
89,15031,4,17,0100,10001,00011101010110111
124,15045,6,4,0110,00100,00011101011000101
119,15085,5,23,0101,10111,00011101011101101
81,15090,4,9,0100,01001,00011101011110010
37,15143,2,13,0010,01101,00011101100100111
135,15262,6,15,0110,01111,00011101110011110
94,15270,4,22,0100,10110,00011101110100110
112,15367,5,16,0101,10000,00011110000000111
61,15368,3,13,0011,01101,00011110000001000
38,15374,2,14,0010,01110,00011110000001110
1,15436,1,1,0001,00001,00011110001001100
96,15456,5,0,0101,00000,00011110001100000
33,15470,2,9,0010,01001,00011110001101110
95,15502,4,23,0100,10111,00011110010001110
70,15671,3,22,0011,10110,00011110100110111
46,15747,2,22,0010,10110,00011110110000011
98,15794,5,2,0101,00010,00011110110110010
21,15968,1,21,0001,10101,00011111001100000
138,16025,6,18,0110,10010,00011111010011001
61,16125,3,13,0011,01101,00011111011111101
5,16144,1,5,0001,00101,00011111100010000
68,16162,3,20,0011,10100,00011111100100010
18,16194,1,18,0001,10010,00011111101000010
35,16205,2,11,0010,01011,00011111101001101
69,16272,3,21,0011,10101,00011111110010000
48,16333,3,0,0011,00000,00011111111001101
84,16358,4,12,0100,01100,00011111111100110
85,16375,4,13,0100,01101,00011111111110111
75,16381,4,3,0100,00011,00011111111111101
131,16442,6,11,0110,01011,00100000000111010
8,16448,1,8,0001,01000,00100000001000000
111,16495,5,15,0101,01111,00100000001101111
86,16559,4,14,0100,01110,00100000010101111
52,16580,3,4,0011,00100,00100000011000100
25,16670,2,1,0010,00001,00100000100011110
47,16673,2,23,0010,10111,00100000100100001
51,16891,3,3,0011,00011,00100000111111011
81,16897,4,9,0100,01001,00100001000000001
42,16902,2,18,0010,10010,00100001000000110
117,16942,5,21,0101,10101,00100001000101110
47,16955,2,23,0010,10111,00100001000111011
81,16959,4,9,0100,01001,00100001000111111
143,16965,6,23,0110,10111,00100001001000101
97,17066,5,1,0101,00001,00100001010101010
141,17258,6,21,0110,10101,00100001101101010
45,17322,2,21,0010,10101,00100001110101010
14,17343,1,14,0001,01110,00100001110111111
64,17417,3,16,0011,10000,00100010000001001
136,17472,6,16,0110,10000,00100010001000000
117,17521,5,21,0101,10101,00100010001110001
113,17538,5,17,0101,10001,00100010010000010
129,17551,6,9,0110,01001,00100010010001111
32,17629,2,8,0010,01000,00100010011011101
22,17666,1,22,0001,10110,00100010100000010
123,17692,6,3,0110,00011,00100010100011100
12,17753,1,12,0001,01100,00100010101011001
23,17773,1,23,0001,10111,00100010101101101
127,17836,6,7,0110,00111,00100010110101100
29,17856,2,5,0010,00101,00100010111000000
74,17932,4,2,0100,00010,00100011000001100
64,17991,3,16,0011,10000,00100011001000111
97,17992,5,1,0101,00001,00100011001001000
74,18007,4,2,0100,00010,00100011001010111
129,18011,6,9,0110,01001,00100011001011011
143,18120,6,23,0110,10111,00100011011001000
54,18149,3,6,0011,00110,00100011011100101
102,18189,5,6,0101,00110,00100011100001101
10,18223,1,10,0001,01010,00100011100101111
74,18371,4,2,0100,00010,00100011111000011
21,18395,1,21,0001,10101,00100011111011011
112,18438,5,16,0101,10000,00100100000000110
25,18459,2,1,0010,00001,00100100000011011
80,18508,4,8,0100,01000,00100100001001100
55,18557,3,7,0011,00111,00100100001111101
76,18584,4,4,0100,00100,00100100010011000
54,18585,3,6,0011,00110,00100100010011001
92,18601,4,20,0100,10100,00100100010101001
65,18602,3,17,0011,10001,00100100010101010
92,18677,4,20,0100,10100,00100100011110101
32,18693,2,8,0010,01000,00100100100000101
17,18694,1,17,0001,10001,00100100100000110
126,18748,6,6,0110,00110,00100100100111100
30,18784,2,6,0010,00110,00100100101100000
43,18808,2,19,0010,10011,00100100101111000
39,18832,2,15,0010,01111,00100100110010000
141,18838,6,21,0110,10101,00100100110010110
18,18864,1,18,0001,10010,00100100110110000
67,18898,3,19,0011,10011,00100100111010010
100,18905,5,4,0101,00100,00100100111011001
88,18927,4,16,0100,10000,00100100111101111
30,18939,2,6,0010,00110,00100100111111011
102,18976,5,6,0101,00110,00100101000100000
32,19136,2,8,0010,01000,00100101011000000
36,19161,2,12,0010,01100,00100101011011001
82,19168,4,10,0100,01010,00100101011100000
88,19191,4,16,0100,10000,00100101011110111
52,19250,3,4,0011,00100,00100101100110010
117,19354,5,21,0101,10101,00100101110011010
138,19572,6,18,0110,10010,00100110001110100
31,19733,2,7,0010,00111,00100110100010101
59,19814,3,11,0011,01011,00100110101100110
17,19868,1,17,0001,10001,00100110110011100
130,19934,6,10,0110,01010,00100110111011110
95,19949,4,23,0100,10111,00100110111101101
62,19963,3,14,0011,01110,00100110111111011
17,20063,1,17,0001,10001,00100111001011111
82,20066,4,10,0100,01010,00100111001100010
105,20078,5,9,0101,01001,00100111001101110
59,20097,3,11,0011,01011,00100111010000001
106,20140,5,10,0101,01010,00100111010101100
48,20149,3,0,0011,00000,00100111010110101
48,20166,3,0,0011,00000,00100111011000110
104,20213,5,8,0101,01000,00100111011110101
44,20256,2,20,0010,10100,00100111100100000
83,20281,4,11,0100,01011,00100111100111001
142,20302,6,22,0110,10110,00100111101001110
31,20415,2,7,0010,00111,00100111110111111
70,20432,3,22,0011,10110,00100111111010000
122,20465,6,2,0110,00010,00100111111110001
64,20520,3,16,0011,10000,00101000000101000
133,20541,6,13,0110,01101,00101000000111101
109,20575,5,13,0101,01101,00101000001011111
84,20639,4,12,0100,01100,00101000010011111
83,20741,4,11,0100,01011,00101000100000101
122,20763,6,2,0110,00010,00101000100011011
86,20783,4,14,0100,01110,00101000100101111
15,20783,1,15,0001,01111,00101000100101111
29,20796,2,5,0010,00101,00101000100111100
142,20826,6,22,0110,10110,00101000101011010
109,20833,5,13,0101,01101,00101000101100001
9,20861,1,9,0001,01001,00101000101111101
108,20864,5,12,0101,01100,00101000110000000
77,20971,4,5,0100,00101,00101000111101011
58,21048,3,10,0011,01010,00101001000111000
92,21084,4,20,0100,10100,00101001001011100
70,21154,3,22,0011,10110,00101001010100010
63,21174,3,15,0011,01111,00101001010110110
139,21202,6,19,0110,10011,00101001011010010
50,21206,3,2,0011,00010,00101001011010110
42,21220,2,18,0010,10010,00101001011100100
84,21288,4,12,0100,01100,00101001100101000
46,21324,2,22,0010,10110,00101001101001100
66,21337,3,18,0011,10010,00101001101011001
18,21340,1,18,0001,10010,00101001101011100
114,21435,5,18,0101,10010,00101001110111011
32,21438,2,8,0010,01000,00101001110111110
18,21466,1,18,0001,10010,00101001111011010
61,21501,3,13,0011,01101,00101001111111101
65,21569,3,17,0011,10001,00101010001000001
21,21638,1,21,0001,10101,00101010010000110
116,21678,5,20,0101,10100,00101010010101110
117,21707,5,21,0101,10101,00101010011001011
85,21799,4,13,0100,01101,00101010100100111
41,21814,2,17,0010,10001,00101010100110110
32,21954,2,8,0010,01000,00101010111000010
79,22030,4,7,0100,00111,00101011000001110
23,22037,1,23,0001,10111,00101011000010101
135,22135,6,15,0110,01111,00101011001110111
60,22186,3,12,0011,01100,00101011010101010
38,22268,2,14,0010,01110,00101011011111100
18,22275,1,18,0001,10010,00101011100000011
128,22308,6,8,0110,01000,00101011100100100
31,22368,2,7,0010,00111,00101011101100000
91,22479,4,19,0100,10011,00101011111001111
85,22512,4,13,0100,01101,00101011111110000
97,22537,5,1,0101,00001,00101100000001001
16,22552,1,16,0001,10000,00101100000011000
38,22625,2,14,0010,01110,00101100001100001
138,22625,6,18,0110,10010,00101100001100001
140,22638,6,20,0110,10100,00101100001101110
50,22681,3,2,0011,00010,00101100010011001
102,22766,5,6,0101,00110,00101100011101110
36,22787,2,12,0010,01100,00101100100000011
17,22792,1,17,0001,10001,00101100100001000
22,22897,1,22,0001,10110,00101100101110001
69,22931,3,21,0011,10101,00101100110010011
1,22960,1,1,0001,00001,00101100110110000
74,22967,4,2,0100,00010,00101100110110111
135,22996,6,15,0110,01111,00101100111010100
73,23041,4,1,0100,00001,00101101000000001
82,23047,4,10,0100,01010,00101101000000111
70,23064,3,22,0011,10110,00101101000011000
42,23075,2,18,0010,10010,00101101000100011
15,23103,1,15,0001,01111,00101101000111111
101,23127,5,5,0101,00101,00101101001010111
116,23224,5,20,0101,10100,00101101010111000
111,23249,5,15,0101,01111,00101101011010001
91,23279,4,19,0100,10011,00101101011101111
46,23390,2,22,0010,10110,00101101101011110
118,23417,5,22,0101,10110,00101101101111001
67,23419,3,19,0011,10011,00101101101111011
34,23438,2,10,0010,01010,00101101110001110
38,23477,2,14,0010,01110,00101101110110101
4,23543,1,4,0001,00100,00101101111110111
33,23548,2,9,0010,01001,00101101111111100
65,23550,3,17,0011,10001,00101101111111110
124,23579,6,4,0110,00100,00101110000011011
53,23713,3,5,0011,00101,00101110010100001
7,23784,1,7,0001,00111,00101110011101000
30,23786,2,6,0010,00110,00101110011101010
138,23787,6,18,0110,10010,00101110011101011
75,23805,4,3,0100,00011,00101110011111101
54,23812,3,6,0011,00110,00101110100000100
101,23824,5,5,0101,00101,00101110100010000
72,23866,4,0,0100,00000,00101110100111010
45,23893,2,21,0010,10101,00101110101010101
85,23932,4,13,0100,01101,00101110101111100
21,23962,1,21,0001,10101,00101110110011010
11,24025,1,11,0001,01011,00101110111011001
40,24048,2,16,0010,10000,00101110111110000
77,24149,4,5,0100,00101,00101111001010101
57,24186,3,9,0011,01001,00101111001111010
132,24214,6,12,0110,01100,00101111010010110
31,24220,2,7,0010,00111,00101111010011100
142,24251,6,22,0110,10110,00101111010111011
123,24274,6,3,0110,00011,00101111011010010
123,24530,6,3,0110,00011,00101111111010010
2,24535,1,2,0001,00010,00101111111010111
141,24608,6,21,0110,10101,00110000000100000
19,24614,1,19,0001,10011,00110000000100110
70,24667,3,22,0011,10110,00110000001011011
122,24691,6,2,0110,00010,00110000001110011
44,24750,2,20,0010,10100,00110000010101110
83,24775,4,11,0100,01011,00110000011000111
43,24831,2,19,0010,10011,00110000011111111
2,24857,1,2,0001,00010,00110000100011001
10,24879,1,10,0001,01010,00110000100101111
29,24890,2,5,0010,00101,00110000100111010
58,24908,3,10,0011,01010,00110000101001100
16,24953,1,16,0001,10000,00110000101111001
48,24991,3,0,0011,00000,00110000110011111
90,25000,4,18,0100,10010,00110000110101000
128,25230,6,8,0110,01000,00110001010001110
78,25309,4,6,0100,00110,00110001011011101
139,25319,6,19,0110,10011,00110001011100111
7,25354,1,7,0001,00111,00110001100001010
92,25390,4,20,0100,10100,00110001100101110
43,25429,2,19,0010,10011,00110001101010101
61,25430,3,13,0011,01101,00110001101010110
56,25457,3,8,0011,01000,00110001101110001
138,25486,6,18,0110,10010,00110001110001110
2,25499,1,2,0001,00010,00110001110011011
120,25512,6,0,0110,00000,00110001110101000
122,25534,6,2,0110,00010,00110001110111110
107,25574,5,11,0101,01011,00110001111100110
107,25632,5,11,0101,01011,00110010000100000
138,25632,6,18,0110,10010,00110010000100000
45,25679,2,21,0010,10101,00110010001001111
87,25686,4,15,0100,01111,00110010001010110
31,25688,2,7,0010,00111,00110010001011000
7,25695,1,7,0001,00111,00110010001011111
48,25760,3,0,0011,00000,00110010010100000
108,25760,5,12,0101,01100,00110010010100000
55,25821,3,7,0011,00111,00110010011011101
61,25824,3,13,0011,01101,00110010011100000
40,25838,2,16,0010,10000,00110010011101110
118,25910,5,22,0101,10110,00110010100110110
128,25976,6,8,0110,01000,00110010101111000
51,26001,3,3,0011,00011,00110010110010001
51,26050,3,3,0011,00011,00110010111000010
86,26053,4,14,0100,01110,00110010111000101
51,26115,3,3,0011,00011,00110011000000011
34,26149,2,10,0010,01010,00110011000100101
97,26252,5,1,0101,00001,00110011010001100
6,26284,1,6,0001,00110,00110011010101100
74,26296,4,2,0100,00010,00110011010111000
106,26332,5,10,0101,01010,00110011011011100
132,26371,6,12,0110,01100,00110011100000011
65,26390,3,17,0011,10001,00110011100010110
107,26415,5,11,0101,01011,00110011100101111
3,26448,1,3,0001,00011,00110011101010000
103,26482,5,7,0101,00111,00110011101110010
131,26500,6,11,0110,01011,00110011110000100
53,26536,3,5,0011,00101,00110011110101000
124,26573,6,4,0110,00100,00110011111001101
33,26646,2,9,0010,01001,00110100000010110
80,26673,4,8,0100,01000,00110100000110001
135,26725,6,15,0110,01111,00110100001100101
84,26771,4,12,0100,01100,00110100010010011
139,26803,6,19,0110,10011,00110100010110011
58,26833,3,10,0011,01010,00110100011010001
71,26835,3,23,0011,10111,00110100011010011
19,26868,1,19,0001,10011,00110100011110100
141,26982,6,21,0110,10101,00110100101100110
106,27026,5,10,0101,01010,00110100110010010
89,27034,4,17,0100,10001,00110100110011010
45,27057,2,21,0010,10101,00110100110110001
9,27129,1,9,0001,01001,00110100111111001
30,27191,2,6,0010,00110,00110101000110111
109,27225,5,13,0101,01101,00110101001011001
141,27233,6,21,0110,10101,00110101001100001
58,27360,3,10,0011,01010,00110101011100000
95,27384,4,23,0100,10111,00110101011111000
82,27407,4,10,0100,01010,00110101100001111
143,27450,6,23,0110,10111,00110101100111010
5,27457,1,5,0001,00101,00110101101000001
94,27488,4,22,0100,10110,00110101101100000
84,27553,4,12,0100,01100,00110101110100001
